idpm;ih;latitud;longitud
5504;;39,4357566027592;-0,39446811877169
5503;;39,435884422569;-0,395036166374051
5501;;39,4361287462689;-0,397279201594881
5502;;39,4361509790916;-0,397118222554699
4116;723.0;39,4416761727133;-0,391977603309467
4117;511.0;39,4418037416946;-0,391959294880042
4326;;39,4419871997819;-0,371859438313673
4329;;39,4443989407271;-0,374485439602468
4330;;39,4446077949128;-0,371132834166488
4315;243.0;39,4447544549272;-0,379900957043118
4316;340.0;39,4447907870389;-0,380030821803931
4328;;39,4448312770878;-0,378637358636043
4109;706.0;39,4449891277335;-0,386903770283712
4304;4042.0;39,445026763581;-0,36887440018658
4227;;39,4450375409061;-0,378605696343177
4302;773.0;39,4450989324619;-0,370873709791577
4322;392.0;39,4451006735712;-0,371188467229374
4323;364.0;39,4451866914995;-0,371239527648275
4303;2678.0;39,4452239364058;-0,369056136598405
4313;1634.0;39,4452744257366;-0,378067992901286
4324;;39,4454594263844;-0,378431229975159
4107;642.0;39,4456353759468;-0,386704172607441
4325;2102.0;39,4456574089812;-0,381840281463154
4310;;39,4456849844823;-0,380777437767816
4301;646.0;39,4458177367129;-0,370057766731832
4319;142.0;39,4460106869831;-0,378874276275102
4122;651.0;39,4461951202043;-0,384933663573298
4312;341.0;39,4463682649135;-0,380113740971266
4308;;39,4464039470882;-0,367045856640817
4106;665.0;39,4466281294557;-0,386844691624801
4309;788.0;39,4468960347185;-0,366680376725617
2327;387.0;39,4469071771261;-0,380060359194892
4105;778.0;39,4469434967139;-0,388815856410514
4108;570.0;39,4473496516977;-0,385952670504621
4307;;39,44738527066;-0,367685124136437
2326;273.0;39,4474069940365;-0,379885622981564
4306;;39,4474086143023;-0,367627924397284
4103;944.0;39,4475956728106;-0,391672116222642
4305;773.0;39,4476507046398;-0,365772034865151
4104;785.0;39,4476562677649;-0,391248291684622
4320;;39,4476927571781;-0,369256716836089
4115;57.0;39,4477926539258;-0,387906216277928
2235;2276.0;39,4483836298424;-0,36967885317874
2233;753.0;39,4484414586683;-0,369545953414971
2232;2859.0;39,4488560403514;-0,370199867809819
2325;349.0;39,4488849179551;-0,379584249787465
4121;;39,4489534268549;-0,3930503949133
4125;;39,4489984369277;-0,389437316216461
4102;;39,4490110876609;-0,39370214258165
2324;229.0;39,4492948122746;-0,379408113361534
3407;1065.0;39,4493731188472;-0,360730496383168
1908;444.0;39,4496065939007;-0,385283167044559
2266;;39,4496867423757;-0,365256632141471
3413;;39,4496955405787;-0,363244393709613
4507;;39,4497039663489;-0,336217953895166
2265;;39,4497055305485;-0,365028346175966
2222;;39,4501007982416;-0,369581257041228
4101;1493.0;39,4502440735887;-0,395325676648772
4509;86.0;39,4502835601667;-0,335321783130665
3406;1264.0;39,4503220698839;-0,359256695383986
2221;;39,4504217710099;-0,369844289046556
2220;1239.0;39,4505478643934;-0,37029165775961
4123;1322.0;39,4506956759087;-0,396183584443494
2218;327.0;39,4507046671585;-0,369592368628919
4505;;39,4507465144348;-0,340697515338539
2264;;39,4507956301142;-0,362649100962601
2323;277.0;39,4508330666025;-0,379140304531157
4508;30.0;39,4510632061267;-0,33528447858378
2307;72.0;39,4511524618416;-0,374996905817235
2262;;39,4511912826213;-0,364414963512029
2263;;39,4512306079681;-0,36433678625672
4504;;39,4513734794912;-0,340402617651018
1904;316.0;39,4514480138053;-0,393665863904387
2322;222.0;39,451489353228;-0,378880359317498
2219;122.0;39,4515364326823;-0,370561416981354
2217;530.0;39,4515502154287;-0,367938533844906
1909;584.0;39,4515707692592;-0,384806156643917
4506;;39,451627006954;-0,341050416019648
2308;214.0;39,4516663725973;-0,375262292404748
3402;732.0;39,4517449891192;-0,350883231414056
3401;628.0;39,4519037426116;-0,350019805367099
2236;2014.0;39,4519788173144;-0,372397680043604
2237;2157.0;39,4520410451006;-0,372227308544718
4503;376.0;39,4520503868735;-0,33777757561523
2267;;39,452110290775;-0,364956195919582
3409;323.0;39,4521615556972;-0,347750468501353
3404;1046.0;39,4522238137175;-0,354136407094603
3408;352.0;39,4522614699447;-0,347904735236783
1903;389.0;39,4522995856838;-0,393175071251129
2309;43.0;39,4523164440917;-0,375808650579572
4502;321.0;39,4523839966398;-0,336953247284197
3405;1246.0;39,4524406117563;-0,35426904639545
2234;517.0;39,4525166946904;-0,365646831031101
2310;160.0;39,4525748563186;-0,375616884701977
2321;210.0;39,4525837442217;-0,378671808643318
2312;55.0;39,4526654169793;-0,376534453158866
2214;273.0;39,4526993650107;-0,364879799734207
2320;99.0;39,4527504310893;-0,378372100625972
2238;203.0;39,4527983772616;-0,37228336963253
2215;128.0;39,452974210447;-0,365559156210455
2331;;39,4530372550124;-0,376292562280918
2311;188.0;39,4530625253863;-0,376237519381133
2239;268.0;39,4531925370823;-0,371788007851891
526;956.0;39,4532079446184;-0,372867165956072
2240;187.0;39,4532476578916;-0,371171995131241
3122;332.0;39,4532923559446;-0,331554151885942
2216;88.0;39,4534192782093;-0,365936215914434
2241;191.0;39,4535812071397;-0,37085050731733
2242;204.0;39,4536383288387;-0,37022639691624
